WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
10,Toronto Downtown West,7,WR2,Existing
09,St. Clair Gardens,5,WR2,Existing
05,Eglinton Hill,5,WR2,Temporarily Removed
08,The Eglinton Way,5,WR1,Existing
10,Financial District,7,WR4,Temporarily Removed
13,St. Lawrence Market Neighbourhood,7,WR3,Existing
13,Downtown Yonge,7,WR4,Existing
09,Little Portugal,7,WR2,Existing
15,Bayview Leaside,5,WR4,Temporarily Removed
04,Bloor West Village,7,WR4,Existing
11,Korea Town,7,WR1,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Existing
23,Sheppard East Village,3,WR2,Existing
10,Financial District,7,WR4,Existing
04,Bloor West Village,1,WR4,Existing
10,West Queen West,7,WR2,Temporarily Removed
04,Roncesvalles Village,5,WR2,Existing
11,Kensington Market,1,WR2,Existing
12,Wychwood Heights,5,WR2,Existing
07,DuKe Heights,5,WR2,Existing
05,Weston Village,5,WR1,Existing
05,Eglinton Hill,5,WR2,Temporarily Removed
13,Downtown Yonge,7,WR4,Temporarily Removed
13,St. Lawrence Market Neighbourhood,7,WR1,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
13,St. Lawrence Market Neighbourhood,7,WR1,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Temporarily Removed
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
04,Bloor West Village,7,WR4,Existing
04,Bloor West Village,7,WR4,Existing
04,The Junction,5,WR4,Existing
04,The Junction,5,WR4,Existing
06,Wilson Village,5,WR3,Existing
13,Historic Queen East,7,WR3,Existing
10,Queen Street West,7,WR1,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Chinatown,7,WR1,Existing
14,Danforth Mosaic,1,WR2,Existing
14,Broadview Danforth,7,WR1,Existing
14,Broadview Danforth,7,WR1,Existing
10,Toronto Downtown West,7,WR2,Existing
08,Upper Village,5,WR1,Existing
14,Pape Village,7,WR2,Existing
14,Greektown on the Danforth,7,WR2,Existing
14,Leslieville,7,WR1,Existing
19,Danforth Mosaic,7,WR1,Existing
13,Downtown Yonge,7,WR4,Existing
10,Toronto Downtown West,7,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
13,Downtown Yonge,7,WR4,Existing
13,Downtown Yonge,7,WR4,Existing
08,The Eglinton Way,5,WR1,Existing
08,The Eglinton Way,5,WR1,Temporarily Removed
11,Dupont by the Castle,5,WR1,Temporarily Removed
08,MarkeTO District,5,WR1,Existing
08,York-Eglinton,5,WR2,Temporarily Removed
06,Wilson Village,5,WR2,Existing
10,Liberty Village,7,WR3,Existing
05,Weston Village,5,WR1,Existing
10,Queen Street West,7,WR1,Existing
10,The Waterfront,7,WR2,Existing
11,Bloor Annex,7,WR1,Existing
11,Bloor Annex,7,WR4,Existing
11,Bloor Annex,7,WR1,Temporarily Removed
11,Bloor Annex,7,WR1,Temporarily Removed
11,Bloor Annex,7,WR4,Existing
11,Bloor Street,7,WR2,Temporarily Removed
13,Downtown Yonge,7,WR1,Temporarily Removed
11,Bloor Street,7,WR2,Existing
11,Rosedale Main Street,7,WR2,Existing
10,Financial District,7,WR4,Temporarily Removed
13,Financial District,7,WR1,Temporarily Removed
