"","key","DAYS.SERVICED","ASSET.TYPE","STATUS","Minors","Adult","Middle_Age_Adult","Senior_Adult","Low_Density_Housing","Medium_Density_Housing","High_Density_Housing","Other_Types","Small_Households","Medium_Households","Large_Households"
"130","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"131","Ward8",1,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"132","Ward8",5,"WR1","Temporarily Removed",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"133","Ward8",5,"WR1","Temporarily Removed",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"134","Ward8",5,"WR1","Temporarily Removed",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"135","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"136","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"137","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"138","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"139","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"140","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"141","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"142","Ward19",1,"WR1","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"143","Ward22",4,"WR1","Existing",18225,27650,26680,31140,12440,6055,19765,80,20760,12885,4700
"144","Ward24",3,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"145","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"146","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"147","Ward22",4,"WR1","Temporarily Removed",18225,27650,26680,31140,12440,6055,19765,80,20760,12885,4700
"148","Ward20",3,"WR1","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"149","Ward20",3,"WR2","Existing",24550,29370,31550,24630,17375,5390,18800,330,23155,14130,4620
"150","Ward12",1,"WR2","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"151","Ward17",4,"WR2","Existing",19255,36335,28090,28905,12475,4655,28620,25,27440,14915,3430
"152","Ward13",7,"WR1","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"153","Ward18",5,"WR2","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"154","Ward18",7,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"155","Ward18",7,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"156","Ward18",1,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"157","Ward18",5,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"158","Ward18",7,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"159","Ward18",7,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"160","Ward17",4,"WR1","Existing",19255,36335,28090,28905,12475,4655,28620,25,27440,14915,3430
"161","Ward18",4,"WR1","Temporarily Removed",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"162","Ward18",5,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"163","Ward10",7,"WR4","Existing",11465,82310,26590,15035,1095,3360,76015,265,70400,9175,1155
"164","Ward4",5,"WR1","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"165","Ward4",5,"WR1","Temporarily Removed",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"166","Ward4",5,"WR1","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"167","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"168","Ward4",5,"WR1","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"169","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"170","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"171","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"172","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"173","Ward3",5,"WR1","Existing",23620,44935,38605,32760,19950,3840,41745,35,46340,16385,2850
"174","Ward7",3,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"175","Ward7",3,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"176","Ward7",3,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"177","Ward7",3,"WR1","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"178","Ward7",3,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"179","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"180","Ward7",3,"WR1","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"181","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
